,id,period1,period2,position,origin,interests,isActive
47,"Koenker, Roger (06.06.2017 - 07.06.2017)",NA,NA,Guest Lecturer,University of Illinois,Quantile Regression                                                                                         ,False
48,"Yum, Minchul (23.05.2017 - 24.05.2017)",NA,NA,Guest lecturer,University of Mannheim,On the Distribution of Wealth and Labor Force Participation,False
49,"Brinca, Pedro (17.04.2017 - 19.04.2017)",NA,NA,Guest lecturer,Nova School of Business and Economics,Fiscal consolidation and income inequality                        ,False
50,"Wilhelm, Daniel (05.02.2017 - 06.02.2017)",NA,NA,Research Guest,University College London,Nonparametric Panel Data Regressions                           ,False
51,"Comte, Fabienne (04.02.2017 - 06.02.2017)",NA,NA,Research Guest,Université Paris Descartes,Spline Regression with measurement errors                   ,False
52,Michela Bia (30.01.2017 – 31.01.2017),NA,NA,Guest researcher,LISER Luxembourg,"
Examation of Language Training Progress
",False
53,Kun Ho Kim (23.01.2017 – 29.01.2017),NA,NA,Guest researcher,Hanyang University,"
Forward Premium Anomaly
",False
54,Hung-Yi Lee (21.01.2017 – 26.01.2017),NA,NA,Guest lecturer,National Taiwan University,"
Deep Learning
",False
55,Victor Chernozhukov (24.01.2017 – 26.01.2017),NA,NA,Guest lecturer,Massachusetts Institute of Technology,"
Inference in High-Dimensions
",False
56,Ekkehart Boehmer (23.01.2017),NA,NA,Guest researcher,Singapore Management University,"
Latent Asset-pricing factors
",False
57,Markus Pelger (10.01.2017 – 12.01.2017),NA,NA,Guest researcher,Stanford University,"
Estimating Latent Asset Pricing Factors
",False
58,"Chen, Shu-Ling (01.12.2016 - 15.07.2017)",NA,NA,Guest researcher,,"
Nonparametric Graphical Models
",False
59,"Liu, Han (19.10.2016 - 25.10.2016)",NA,NA,Guest lecturer,,"
Financial Economics, Agricultural Insurance, Catastrophe Risk Management
",False
60,"Zhu, Leo Jun (20.08.2016 - 21.08.2017)",NA,NA,Research Guest,,"
DSGE and Bayesian Methods, Dynamic Fiscal Policy, Chinese Economy
",False
61,"Symanzik, Jürgen (21.04.2016 - 20.05.2016)",NA,NA,Guest lecturer in cooperation with CRC 649,Utah State University,"
Statistical Graphics and Visual Data Mining
",False
62,"Chen, Haiqiang (19.07.2016 - 19.08.2016)",NA,NA,Research Guest,Xiamen University,"
Time Series Econometrics
",False
63,"Chen, Shiyi (21.04.2016 - 20.05.2016)",NA,NA,Research Guest,"Fudan University, Shanghai","
Air pollution reduction, related health problem, and economic sustainable development
",False
64,"Oh, Hee-Seok (06.06.2016 - 07.06.2016)",NA,NA,Guest lecturer in cooperation with CRC 649,Seoul National University,"
Data-adaptive PCA
",False
65,"Li, Yingxing (19.07.2016 - 19.08.2016)",NA,NA,Research Guest,Xiamen University,"
Nonparametric and Semiparametric Regression
",False
66,"Chua, Wee Song (21.04.2016 - 20.05.2016)",NA,NA,Research Guest,National University of Singapore,"
Vector Functional Autoregressive Models
",False
67,"Chen, Ying (21.04.2016 - 20.05.2016)",NA,NA,Research Guest,National University of Singapore,"
Financial statistics and risk management, Non-stationary time series analysis
",False
68,"Nowatarski, Jakub ",(20.04.2016 - 22.04.2016) ,(05.06.2016 - 06.06.2016),Research Guest in cooperation with CRC 649,Wroclaw University of Technology,Short-term electricity price and load forcasting,False
69,"Fan, Qingliang (10.01.2016 - 10.02.2016)",NA,NA,Guest lecturer,"WISE, Xiamen University","Macro-finance, Applied econometrics, International economics",False
70,"Linton, Oliver ",(27.01.2016 - 05.02.2016),(22.10.2015 - 29.10.2015),Research Guest,University of Cambridge,Empirical Finance,False
71,"Niu, Linlin (01.11.2015 - 15.01.2016)",NA,NA,Research Guest,"WISE, Xiamen University","Macro-finance, Applied econometrics, International economics",False
72,"Tsybacov,Alexandre (29.10.2015 - 30.10.2015)",NA,NA,Research Guest,Centre de Recherche en Economie et Statistique,Oracle inequalities for network models and sparse graphon estimation,False
73,"Chen, Yi-Hsuan Cathy ",(01.07.2015 - 30.06.2016),(25.06.2014 - 26.06.2014),Research Guest, ,The integration of credit default swaps markets,False
74,"Chen, Ying (02.06.2015 - 31.10.2015)",NA,NA,Research Guest,National University of Singapore,"
Financial statistics and risk management, Non-stationary time series analysis
",False
75,"Lu, Henry Horng-Shing (16.05.2015 - 25.05.2015)",NA,NA,Research Guest,National Chiao Tung University,"
Scientific computing, Image science, Bioinformatics
",False
76,"Burnaev, Evgeny (11.05.2015 - 12.05.2015)",NA,NA,Research Guest,Moscow Institute of Physics and Technology,"
Modeling and forecasting volatility in the financial markets
",False
77,"Yao, Qiwei (26.01.2015 - 31.01.2015)",NA,NA,Research Guest,London School of Economics and Political Science,"
Modeling high-dimensional time series
",False
78,"Mykland, Per (20.11.2014 - 21.11.2014)",NA,NA,Research Guest,University of Chicago,"
High Frequency Financial Econometrics
",False
79,"von Mettenheim, Hans-Jörg (15.01.2015 - 21.01.2015)",NA,NA,Research Guest,University of Hanover,"
Neural networks, Artificial intelligence, Financial market forecasts
",False
80,"Fengler, Matthias (01.10.2014 - 02.10.2014)",NA,NA,Research Guest,University of St. Gallen,"
Empirical finance, Financial econometrics and statistics
",False
81,"Duan, Jin-Chuan (22.09.2014 - 08.11.2014)",NA,NA,Research Guest,National University of Singapore,"
Risk management, Derivatives pricing, Financial econometrics
",False
82,"Wu, Wei Biao (17.09.2014 - 18.09.2014)",NA,NA,Research Guest,University of Chicago,"
Model selection, Covariance matrix estimation, Regression
",False
83,"Chen, Chun-houh (02.09.2014 - 04.09.2014)",NA,NA,Guest lecturer,Academia Sinica,"
Matrix Visualization
",False
84,"Kuan, Chungming (19.08.2014 – 29.08.2014)",NA,NA,Guest lecturer,National Taiwan University,"
Quantitative Finance and Accounting
",False
85,"Fang, Ying (01.08.2014 - 15.09.2014)",NA,NA,Research Guest,"WISE, Xiamen University","
Econometrics, Applied econometrics, Economy of China
",False
86,"Lin, Henry (16.07.2014)",NA,NA,Guest lecturer,Causality Testing,"
Causality Testing
",False
87,"Cui, Wei (15.07.2014 – 29.07.2014)",NA,NA,Guest lecturer,University College London,"
Macro, Finance and Time Series
",False
88,"Hyndman, Rob J. (22.06.2014 - 26.06.2014)",NA,NA,Research Guest,Monash University,"
Forecasting, Time series analysis, Statistical computing, Computational demography
",False
89,"Dufays, Arnaud (18.05.2014 - 20.05.2014)",NA,NA,Guest lecturer,Malakoff Cedex,"
Bayesian Inference for Structural Break Models
",False
90,"Chen, Rong (05.02.2014 - 06.02.2014)",NA,NA,Professor of Statistics,Rutgers University,Nonlinear and multivariate time series,False
91,"Hafner, Christian (23.01.2014 - 24.01.2014)",NA,NA,Guest lecturer,Université Catholique de Louvain,Volatility Modelling and Risk Management,False
92,"Imbens, Guido (20.01.2014 - 21.01.2014)",NA,NA,Guest lecturer,Stanford University,"
Causal Inference
",False
93,"Wand, Matt (09.12.2013 - 18.12.2013)",NA,NA,Professor of Statistics,"University of Technology, Sydney","Variational approximate methods, Statistical methods for streaming data",False
94,"Bluhm, Marcel (03.02.2013 - 05.02.2013)",NA,NA,Professor,Professor,"Monetary policy, Economic growth, Financial stability",False
95,"D'Amato, Valeria (11.11.2013)",NA,NA,Research Guest,Universita Degli Studi di Salerno,Dependence into Mortality Data,False
96,"Ritov, Ya'acov (01.12.2013 - 07.12.2013)",NA,NA,Professor,The Hebrew University of Jerusalem,Methods in financial risk measurement,False
