,id,period1,period2,position,origin,interests,isActive
0,"Li, Sherry (18.01.2018)",NA,NA,Guest Researcher,Blockchain Nights #4,"
Applications of blockchain to data science.
",False
1,"Florens, Jean-Pierre (13.02.2018 - 15.02.2018)",NA,NA,Guest Researcher,Toulouse School of Economics,Is Completeness Necessary? Penalized Estimation in Non Identified Linear Models,False
2,NA,"Overbeck, Ludger (14.02.2018-15.02.2018)",NA,Guest Researcher ,,Central SIFIs by Factor Copulae,False
3,NA,"Chengxiu, Ling (15.04.2018-22.04.2018)",NA,Guest Researcher ,Université de Lausanne,How Sensitive are Tail-related Risk Measures in a Contamination Neighbourhood?,False
4,NA,"Huang, Chen (19.04.2018-20.04.2018)",NA,Guest Researcher,"Universität St.Gallen, Forschungsplattform Alexandria",Statistical Inference on High-Dimensional Tail Event Curves,False
5,"Despres, Roméo (03.07.2017 - 28.05.2018)",NA,NA,Guest Researcher,Ecole normale supérieure de Rennes,"
Mathematical modelling,                            
Machine learning                                        
",False
6,NA,"Barletta, Andrea    (01.02.2018-31.05.2018)",NA,Guest Lecturer (pro bono),Aarhus University,"Non-parametric/Non-structural Estimation of the Risk-neutral Density Embedded in Option Prices, Cryptocurrencies.",False
7,NA,"Park, Juhyun  (27.05.2018-31.05.2018)",NA,Guest Researcher,Lancaster University,"Nonparametric regression and functional data analysis, Dynamic modelling of multi-dimensional curves, Heavy tailed time series and extremes, Longitudinal data analysis and medical statistics, Multiple point processes for high frequency events",False
8,NA,"Feng, Yang  (01.06.2018)",NA,Guest Researcher,Columbia University,"High-dimensional statistical learning, network models, nonparametric and semiparametric methods, bioinformatics.",False
9,NA,"Harding, Matthew  (01.06.2018-05.06.2018)",NA,Guest Researcher,University of California – Irvine,Applying Deep Learning and Machine Learning in Economics,False
10,NA,"Nguyen, Phuong Anh   (10.07.2018-14.07.2018)",NA,Guest Lecturer / SC 2018,"International University - Vietnam National University of Ho Minh City
			 ","Banking efficiency with risk control variables, Banking risk management, Dynamic Optimization",False
11,NA,"Park, Juhyun  (11.07.2018-13.07.2018)",NA,Guest Researcher,Lancaster University,"Nonparametric regression and functional data analysis, Dynamic modelling of multi-dimensional curves, Heavy tailed time series and extremes, Longitudinal data analysis and medical statistics, Multiple point processes for high frequency events",False
12,NA,"Can, Jiao   (01.01.2018-30.06.2018)",NA,Guest Researcher,"University of Chinese Academy of Sciences, Beijing","
Economics and Non-linear Programming, Text mining and Herding        
",False
13,NA,"Anastasiou, Andreas  (17.06.2018-24.06.2018)",NA,Guest Researcher,London School of Economics and Political Science,Detecting multiple generalised change-points by isolating single ones,False
14,NA,"Renault, Thomas    (16.12.2017-18.12.2017) ",NA,Guest Lecturer ,"Panthéon-Sorbonne University, Paris",Market Manipulation and Suspicious Stock Recommendations on Social Media,False
15,NA,"Pohlmeier, Winfried    (11.12.2017-12.12.2017) ",NA,Guest Lecturer ,Universität Konstanz,What Can Economists Learn from the Machines about Personality,False
16,NA,"Meier, Matthias             (05.12.2017-06.12.2017) ",NA,Guest Lecturer ,Universität Mannheim,Timo to Build on the Business Cycle,False
17,NA,"Meister, Alexander    (05.12.2017-06.12.2017) ",NA,Guest Lecturer ,Universität Rostock,Nonparametric Density Estimation for Intentionally Corrupted Functional Data,False
18,NA,"Barunik, Jozef    (04.12.2017-05.12.2017) ",NA,Guest Lecturer ,"Charles University, Prague",A Tale of Sentiment Driven Tail Events: A Dynamic Quantile Model for Asset Pricing with Sentiment,False
19,NA,"Dzemski, Andreas    (30.10.2017-31.10.2017) ",NA,Guest Lecturer,University of Gothenburg,"Economic Risk, Confidence Set for Group Membership",False
20,NA,"Genz, Sabrina    (12.11.2017-14.11.2017) ",NA,Guest Lecturer ,Institut für Arbeitsmarkt- und Berufsforschung in Nürnberg,Do German Works Councils Counter or Foster the Implementation of Digital Technologies?,False
21,NA,"Hashorva, Enkeleijd    (14.11.2017-15.11.2017) ",NA,Guest Lecturer ,University of Lausanne,From Classical to Parisian Ruin in Gaussian Risk Models ,False
22,"Chen, Yi-Hsuan Cathy (01.07.2015 - 30.06.2016)",NA,NA,Research Guest,Chung-Hua University,The integration of credit default swaps markets,False
23,"Chen, Ying (15.11.2017 - 19.11.2017)",NA,NA,Research Guest,National University of Singapore,"
Financial statistics and risk management, Non-stationary time series analysis
",False
24,NA,"Stillwell , David    (27.11.2017-28.11.2017) ",NA,Guest Lecturer,University of Cambridge,"Text, Herding and                            Sentiment",False
25, ,"Trueck,  Stefan    (01.08.2017-15.09.2017) ",NA,Guest Researcher ,Macquarie University,"Risk Management, Energy Markets, Carbon Trading and Economics of Climate Change, Econometrics of Financial Markets",False
26,NA,"Rodriguez Poo, Juan Manuel   (25.08.2017-05.09.2017)",NA,Guest Researcher,Universidad de Cantabria,Applications of nonparametric and semiparametric estimation techniques to finance and microeconomics,False
27,"Niu, Linlin (31.08.2017 - 07.09.2017)",NA,NA,Guest Researcher,Xiamen University ,"
Macro-finance, Applied Econometrics, International Economics 
",False
28,"Chen, Haiqiang (31.08.2017 - 07.09.2017)",NA,NA,Guest Researcher,,"
Financial Econometrics, Time Series Econometrics, Financial Economics 
",False
29,"Li, Yingxing (31.08.2017 - 07.09.2017)",NA,NA,Guest Researcher,Xiamen University ,"
Macro-finance, Applied Econometrics, International Economics 
",False
30,"Lin, Ming (31.08.2017 - 07.09.2017)",NA,NA,Guest Researcher,Xiamen University ,"
Monte Carlo Method,
Self Selection                                                       
",False
31,NA,"Li, Mingyang    (31.08.2017-07.09.2017) ",NA,Guest Researcher ,Xiamen University (WISE),Cryptocurrencies                                        ,False
32,NA,Maciej Zieba   (20.08.2017 - 25.08.2017),NA,Guest Researcher,Wroclaw University of Science and Technology,"Machine learning, ensemble models, deep learning",False
33,"Ji, Xiaohao (03.07.2017-31.08.2017)",NA,NA,Guest Researcher,Fudan University,"
Financial Econometrics                                             
                   
",False
34,NA,"Liu, Lun-kang (Ryan) (15.07.2017 - 20.08.2017)",NA,Guest Researcher,"National Sun Yat-sen University, Taiwan","Copula Model, Machine Learning, Crypto Currency",False
35,NA,Jozef Baruník   (26.07.2017 - 30.07.2017),NA,Guest Researcher,"Charles University, Prag                                                ","
Financial Economics; Econometrics                   
",False
36,"Müller, Hans-Georg  (13.07.2017 - 14.07.2017)",NA,NA,Guest Lecturer,"University of California, Davis",Functional Data Analysis,False
37,"Boehmer, Ekkehart (13.06.2017 - 20.07.2017)",NA,NA,Guest Reasercher,Singapore Management University,NA,False
38,John C. Ham (24.06.2017 -  03.07.2017),NA,NA,Guest Lecturer,National University of Singapore,NA,False
39,"Zakiyeva, Nazgul (27.06.2017 - 16.07.2017)",NA,NA,Guest Researcher,National University of Singapore,"
Energy, wind power,
Functional Time Series Analysis                     
",False
40,Martin Spindler (27.06.2017 - 16.07.2017),NA,NA,Guest Researcher,Universität Hamburg,"
High-Dimensional L_2 Boosting: Rate of Convergence
                   
",False
41,Isabel Proença (06.07.2017 - 07.07.2017),NA,NA,Guest Lecturer,ISEG - Lisbon School of Economics and Management,"
Modern Econometrics
Machine Learning                                                         
",False
42,Daniel Gutknecht  (09.07.2017 - 11.07.2017),NA,NA,Guest Lecturer ,Universität Mannheim,Estimation in (Non-)Additive Semiparametric Sample Selection Models,False
43,"Bowman, Adrian (26.06.2017 - 29.06.2017)",NA,NA,Guest Lecturer,University of Glasgow,Flexible Statistical Models                           ,False
44,"Vogt, Michael (25.06.2017 - 26.06.2017)",NA,NA,Guest Lecturer,Rheinische Friedrich-Wilhelms-Universität Bonn,Multiscale Clustering of Nonparametric RegressionCurves,False
45,"Choi, Jin-Young (19.06.2017 - 20.06.2017)",NA,NA,Guest Lecturer,Goethe-Universität Frankfurt,Semiparametric Estimator for Binary-Outcome Sample Selection: Prejudice Matters in Elections                       ,False
46,"Weder, Mark (12.06.2017 - 13.06.2017)",NA,NA,Guest Lecturer,The University of Adelaide,"Animal Spirits, Financial Markets and Aggregate Instability                         ",False
